condition,family,method,checkpoint,positions,top1,top3,policy_ce,value_mse,value_rmse,value_pearson,params,prunable_params,nonzero_prunable_params,actual_sparsity,sparsity_target,actual_model_mb,sparse_estimated_mb,cpu_latency_ms,gpu_latency_ms,peak_gpu_mb,train_seconds,epochs_completed,val_top1,val_top3,val_policy_ce,cpu_latency_q1_ms,cpu_latency_q3_ms,cpu_latency_trials,seed
student_distilled_pruned_50,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_17/student_distilled_pruned_50.pt,7475,0.21003344481605352,0.4477591973244147,2.8318446581339756,0.05881086364388466,0.24250951248123168,0.7300368547439575,2970113,2949248,1474624,0.5,0.5,11.334019660949707,11.330081939697266,0.4885787600263332,,0.0,4.0642417919880245,1,0.21438100320170758,0.4569103521878335,2.8232899849544593,0.43367225502151996,0.529690299978635,"[0.639052519982215, 0.4885787600263332, 0.5479333066614345, 0.5114472932958355, 0.4697551700519398, 0.388420079931772, 0.39758933999110013]",17
student_distilled_pruned_75,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_17/student_distilled_pruned_75.pt,7475,0.20722408026755854,0.43638795986622075,2.8557532233617775,0.09393071383237839,0.3064811802254396,0.5426967144012451,2970113,2949248,737312,0.75,0.75,11.334019660949707,5.704837799072266,0.3811266933917068,,0.0,4.217927784018684,1,0.2015741728922092,0.4413020277481323,2.844999057378942,0.36390680669380043,0.41366277170406346,"[0.473146016690104, 0.4356091933247323, 0.3511550000015025, 0.3811266933917068, 0.3581672366514492, 0.3696463767361517, 0.3917163500833946]",17
teacher_fp32,teacher,baseline,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/teacher_fp32.pt,7475,0.24896321070234115,0.45217391304347826,2.843257341608156,0.04931509494781494,0.2220700226230793,0.7831090688705444,12212225,12190208,12190208,0.0,,46.58998394012451,,2.227464946724164,0.7460115499755678,309.6650390625,112.06161613299628,14,0.25253468516542155,0.46824973319103524,2.825316428374837,2.2057315933731543,2.3874661966692656,"[2.443432400080686, 2.227464946724164, 2.224579653411638, 2.173735903246173, 2.409165313389773, 2.18688353333467, 2.3657670799487582]",27
student_direct,student,direct_training,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/student_direct.pt,7475,0.21003344481605352,0.4193979933110368,2.8575159074151797,0.0472981259226799,0.21748132315828847,0.7898640036582947,2970113,2949248,2949248,0.0,,11.334151268005371,,0.3367314533291695,0.1655098566940675,209.97412109375,89.23227413601126,20,0.2146478121664888,0.4312966915688367,2.8390270248930127,0.3306795150274411,0.34238041834517696,"[0.33012784998087835, 0.3509363966683547, 0.3416966166696511, 0.3312311800740038, 0.3367314533291695, 0.3286060000148912, 0.34306422002070275]",27
student_distilled,student,distillation,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/student_distilled_a0p50_t2p0.pt,7475,0.22809364548494984,0.44441471571906355,2.85693312163337,0.04759197682142258,0.21815585442848553,0.7873677611351013,2970113,2949248,2949248,0.0,,11.334399223327637,,0.3850001166574657,0.2718501433264464,253.7626953125,109.85180850702454,20,0.23038954108858056,0.45771077908217717,2.838913469965964,0.3772825633738345,0.38875732333205326,"[0.39558650663821027, 0.3917808832678323, 0.3857337633962743, 0.3850001166574657, 0.3306679999999081, 0.3753700866946019, 0.3791950400530671]",27
teacher_int8,teacher,quantization,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/teacher_int8.pt,7475,0.24869565217391304,0.45217391304347826,2.8433642044832874,0.04875967279076576,0.22081592512942938,0.7840666770935059,12212225,12190208,12190208,0.0,,11.716753959655762,,0.4774354833837909,,0.0,0.0,0,0.25253468516542155,0.4683831376734258,2.825126846673776,0.4745044983186138,0.59935244168931,"[0.4729543799961296, 0.46105176996206865, 0.4774354833837909, 0.476054616641098, 0.6568035899545066, 0.62568354003209, 0.57302134334653]",27
teacher_control,teacher,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/teacher_control.pt,7475,0.24401337792642142,0.4593979933110368,2.8365358410072963,0.046667590737342834,0.2160268287443549,0.7925698161125183,12212225,12190208,12190208,0.0,,46.5896577835083,,2.3122447333298624,,0.0,7.065208342013648,1,0.24879935965848451,0.46744930629669157,2.8204032591083896,2.2935326633645063,2.3432432833457524,"[2.302537386713084, 2.4197641466162167, 2.3122447333298624, 2.2751520733193806, 2.2845279400159293, 2.3324717167027607, 2.3540148499887437]",27
teacher_pruned_25,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/teacher_pruned_25.pt,7475,0.21672240802675585,0.4623411371237458,2.831339448782114,0.04635677859187126,0.21530624373638416,0.794914960861206,12212225,12190208,9142656,0.25,0.25,46.58968448638916,69.83691787719727,2.1841218199309274,,0.0,7.840814983006567,1,0.21918356456776947,0.4707844183564568,2.8169041511979405,2.1229498033062555,2.3018038166628685,"[2.312337073381059, 2.481641566652494, 2.1841218199309274, 2.291270559944678, 2.173674283355164, 2.072225323257347, 2.0567480666795745]",27
teacher_pruned_50,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/teacher_pruned_50.pt,7475,0.2500334448160535,0.46220735785953176,2.8300348958044146,0.04512793570756912,0.2124333676887158,0.7989116311073303,12212225,12190208,6095104,0.5,0.5,46.58968448638916,46.585941314697266,2.0710089500062168,,0.0,6.948952050996013,1,0.2546691568836713,0.47118463180362863,2.81245862788808,2.0633861600072123,2.1520057566037094,"[2.0710089500062168, 2.4341205133047574, 2.05845964665059, 2.0380387700667293, 2.1893893766294545, 2.114622136577964, 2.0683126733638346]",27
teacher_pruned_75,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/teacher_pruned_75.pt,7475,0.24749163879598662,0.4576588628762542,2.81280587604612,0.054770294576883316,0.23403054197451092,0.7615066170692444,12212225,12190208,3047552,0.75,0.75,46.58968448638916,23.334964752197266,2.255125136677331,,0.0,7.451476464018924,1,0.24559765208110992,0.471051227321238,2.7969485158726908,2.1499534833128564,2.313560498393296,"[2.255125136677331, 2.506529253344828, 2.302074226705978, 2.107006940059364, 2.3250467700806134, 2.112994793278631, 2.186912173347082]",27
student_distilled_int8,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/student_distilled_int8.pt,7475,0.22862876254180603,0.44481605351170567,2.8573923356238016,0.04898260161280632,0.22132013377188783,0.782515823841095,2970113,2949248,2949248,0.0,,2.8996877670288086,,0.232447206605381,,0.0,0.0,0,0.23132337246531484,0.45771077908217717,2.8396487813621856,0.2306210683309473,0.23674237338127568,"[0.28153865666051087, 0.22674577330083898, 0.23026911328391483, 0.23097302337797979, 0.2333083400541606, 0.232447206605381, 0.24017640670839077]",27
student_distilled_control,student,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/student_distilled_control.pt,7475,0.23665551839464882,0.4460200668896321,2.8564176791009297,0.04703810065984726,0.2168826887048555,0.7915081977844238,2970113,2949248,2949248,0.0,,11.333992958068848,,0.3855225267276789,,0.0,3.7855543729965575,1,0.2402614727854856,0.4589114194236926,2.83835240616488,0.38314081000862643,0.4060878100184103,"[0.4461841667459036, 0.4262083033487822, 0.38493553331742686, 0.3855225267276789, 0.37966634331193444, 0.381346086699826, 0.3859673166880384]",27
student_distilled_pruned_25,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/student_distilled_pruned_25.pt,7475,0.23384615384615384,0.4446822742474916,2.853655809766074,0.04728862643241882,0.2174594822775471,0.7922407984733582,2970113,2949248,2211936,0.25,0.25,11.334019660949707,16.955326080322266,0.39281936003438506,,0.0,3.9194949319935404,1,0.2390608324439701,0.45744397011739596,2.835066051340663,0.3672993950021919,0.45168397167193086,"[0.47184247329520684, 0.47964379666761187, 0.3590539933065884, 0.39281936003438506, 0.4315254700486548, 0.36668538339048, 0.36791340661390376]",27
student_distilled_pruned_50,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/student_distilled_pruned_50.pt,7475,0.23571906354515051,0.43826086956521737,2.8408882532789557,0.0588659904897213,0.24262314500006238,0.7329801917076111,2970113,2949248,1474624,0.5,0.5,11.334019660949707,11.330081939697266,0.41021569990941015,,0.0,3.919859446992632,1,0.2371931696905016,0.4518409818569904,2.8246112523745572,0.38937936997778405,0.4156693516900608,"[0.5145546599912146, 0.41992448997916654, 0.38667541996498284, 0.411414213400955, 0.41021569990941015, 0.39208331999058527, 0.35769735666690394]",27
student_distilled_pruned_75,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_27/student_distilled_pruned_75.pt,7475,0.20040133779264213,0.42702341137123745,2.8627747129995287,0.08663509041070938,0.2943383943876663,0.6029956936836243,2970113,2949248,737312,0.75,0.75,11.334019660949707,5.704837799072266,0.38599401334067807,,0.0,3.721797497011721,1,0.2015741728922092,0.43983457844183566,2.84686096958824,0.3733560866870297,0.42834057836444117,"[0.49153463332913816, 0.4602312999971521, 0.3964498567317302, 0.38599401334067807, 0.3418776333758918, 0.36505116334107396, 0.38166101003298536]",27
teacher_fp32,teacher,baseline,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/teacher_fp32.pt,7475,0.24387959866220735,0.4604682274247492,2.8285659363596736,0.04980307072401047,0.22316601605981692,0.7762144804000854,12212225,12190208,12190208,0.0,,46.58998394012451,,2.23007386996566,0.5524851966765709,309.6650390625,135.58341268097865,17,0.2513340448239061,0.47692102454642477,2.8184285077366784,2.1588290783499056,2.2677846750108683,"[2.324061123363208, 2.247853990023335, 2.1538590966762663, 2.1272524099913426, 2.2877153599984013, 2.23007386996566, 2.163799060023545]",37
student_direct,student,direct_training,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_direct.pt,7475,0.21270903010033446,0.44561872909698996,2.8527853933225904,0.04874413460493088,0.22078073875438245,0.7935462594032288,2970113,2949248,2949248,0.0,,11.334151268005371,,0.3622183500556275,0.14673142994676405,209.59912109375,82.88930213800631,20,0.21704909284951973,0.4566435432230523,2.837941179407826,0.3459291849867441,0.37595547667782137,"[0.3855115899932571, 0.3792851433778803, 0.3726258099777624, 0.34328770329011604, 0.3622183500556275, 0.3441008566490685, 0.3477575133244197]",37
student_distilled,student,distillation,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_distilled_a0p50_t2p0.pt,7475,0.2437458193979933,0.4496321070234114,2.847231474241684,0.046798091381788254,0.2163286651874602,0.7920247912406921,2970113,2949248,2949248,0.0,,11.334399223327637,,0.3357308600485946,0.8029976299925087,252.8876953125,86.59960089297965,20,0.24653148345784417,0.4615795090715048,2.834207173472662,0.3341989450079078,0.3538976500082451,"[0.34036477338910726, 0.3356095833199409, 0.3696962700147803, 0.3231643733064023, 0.3357308600485946, 0.3327883066958748, 0.3674305266273829]",37
teacher_int8,teacher,quantization,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/teacher_int8.pt,7475,0.24588628762541806,0.4588628762541806,2.8290649246611324,0.050295136868953705,0.2242657728431909,0.7752890586853027,12212225,12190208,12190208,0.0,,11.716753959655762,,0.4988666799423906,,0.0,0.0,0,0.2513340448239061,0.47638740661686235,2.818627544757269,0.49180822500299354,0.5132963366243832,"[0.5075947233126499, 0.4903530400285187, 0.49326340997746837, 0.4988666799423906, 0.4688373133346128, 0.5189979499361167, 0.6705998133596344]",37
teacher_control,teacher,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/teacher_control.pt,7475,0.248561872909699,0.4631438127090301,2.8336521659646943,0.05025162547826767,0.2241687433124156,0.7840932011604309,12212225,12190208,12190208,0.0,,46.5896577835083,,2.130514086650995,,0.0,7.233859419007786,1,0.26173959445037354,0.4797225186766275,2.8202662602814437,2.1039541899517644,2.1728032366566667,"[2.1048355366413793, 2.5425921966476985, 2.1030728432621495, 2.130514086650995, 2.1659887233787836, 2.0288683700103625, 2.1796177499345504]",37
teacher_pruned_25,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/teacher_pruned_25.pt,7475,0.2505685618729097,0.4642140468227425,2.8348805605208995,0.04844573512673378,0.2201039189263421,0.7857014536857605,12212225,12190208,9142656,0.25,0.25,46.58968448638916,69.83691787719727,2.1752569299618094,,0.0,7.394821025984129,1,0.2630736392742796,0.47958911419423694,2.8219442576201774,2.131731934981265,2.2107983466897467,"[2.109196226617011, 2.507707166757124, 2.1752569299618094, 2.232245000001664, 2.18935169337783, 2.15426764334552, 2.093530453372902]",37
teacher_pruned_50,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/teacher_pruned_50.pt,7475,0.2420066889632107,0.4650167224080268,2.8269290347721268,0.04685785993933678,0.21646676405244472,0.7909544110298157,12212225,12190208,6095104,0.5,0.5,46.58968448638916,46.585941314697266,2.1503203099321886,,0.0,7.461063914000988,1,0.24933297758804696,0.47958911419423694,2.8162737839249945,2.111942618357716,2.2295518949977122,"[2.1036415900258967, 2.5996753033056543, 2.302357223331152, 2.1567465666642724, 2.1202436466895356, 2.1503203099321886, 2.048937286696552]",37
teacher_pruned_75,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/teacher_pruned_75.pt,7475,0.24976588628762542,0.465819397993311,2.7960411537132135,0.05522898584604263,0.23500848037048075,0.7541776895523071,12212225,12190208,3047552,0.75,0.75,46.58968448638916,23.334964752197266,2.0912405400304124,,0.0,7.964728433988057,1,0.25360192102454643,0.47838847385272143,2.786730077248882,2.0460960650234483,2.2509968850257183,"[2.0912405400304124, 2.6846844400279224, 1.9783227966399863, 2.0042241766350344, 2.0879679534118623, 2.26098268001806, 2.241011090033377]",37
student_distilled_int8,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_distilled_int8.pt,7475,0.24280936454849497,0.45096989966555184,2.847623516165692,0.04663893207907677,0.21596048730977796,0.7933322191238403,2970113,2949248,2949248,0.0,,2.8996877670288086,,0.22867971662587175,,0.0,0.0,0,0.24813233724653147,0.4605122732123799,2.8345104146792512,0.2231950899780107,0.2489292917016428,"[0.25634929673591006, 0.32095757002631825, 0.22562330666308603, 0.2415092866673755, 0.22867971662587175, 0.2207668732929354, 0.20992908665599921]",37
student_distilled_control,student,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_distilled_control.pt,7475,0.23839464882943143,0.45364548494983276,2.8455155674669657,0.04523109272122383,0.21267602761294896,0.8004810810089111,2970113,2949248,2949248,0.0,,11.333992958068848,,0.37135676665153977,,0.0,4.051722991018323,1,0.2406616862326574,0.46278014941302026,2.8332985350772693,0.3599766016607949,0.4080785966652911,"[0.4321621732863908, 0.45682861673412845, 0.38399502004419145, 0.37135676665153977, 0.3200607799226418, 0.3629477633512579, 0.3570054399703319]",37
student_distilled_pruned_25,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_distilled_pruned_25.pt,7475,0.2462876254180602,0.44936454849498325,2.843338292960738,0.04474693164229393,0.21153470552676204,0.8021652102470398,2970113,2949248,2211936,0.25,0.25,11.334019660949707,16.955326080322266,0.37377940335621435,,0.0,4.1271473380038515,1,0.2485325506937033,0.46171291355389543,2.83260888987188,0.36729992663216154,0.3963000350146709,"[0.5137467399860421, 0.4140562633013663, 0.37377940335621435, 0.36300988334308687, 0.3785438067279756, 0.3677505399294508, 0.3668493133348723]",37
student_distilled_pruned_50,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_distilled_pruned_50.pt,7475,0.2442809364548495,0.44896321070234113,2.8309665085081273,0.05608976259827614,0.2368327734885443,0.7490264177322388,2970113,2949248,1474624,0.5,0.5,11.334019660949707,11.330081939697266,0.3814252632825325,,0.0,4.333932125009596,1,0.24519743863393811,0.45624332977588045,2.8179312576733633,0.3633289867138956,0.4051310216406515,"[0.4275342033361085, 0.4741055400033171, 0.36439625003064674, 0.3827278399451946, 0.3622617233971444, 0.3814252632825325, 0.3498202100551377]",37
student_distilled_pruned_75,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_37/student_distilled_pruned_75.pt,7475,0.23103678929765886,0.4295652173913043,2.858670499603884,0.09019239246845245,0.30032048293190466,0.5695540308952332,2970113,2949248,737312,0.75,0.75,11.334019660949707,5.704837799072266,0.37568585665818927,,0.0,4.101322345988592,1,0.23679295624332977,0.43703308431163285,2.845200463572841,0.36966498829618405,0.43364617498203495,"[0.4662537433129425, 0.5328078732903426, 0.37568585665818927, 0.40103860665112734, 0.36284987329660606, 0.36776732992924127, 0.3715626466631268]",37
teacher_fp32,teacher,baseline,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/teacher_fp32.pt,7475,0.2394648829431438,0.4623411371237458,2.8302738723308347,0.0500539168715477,0.22372732705583306,0.7827786207199097,12212225,12190208,12190208,0.0,,46.58998394012451,,2.3867652566210986,0.7524868133865917,309.6650390625,124.92113880199031,17,0.24092849519743864,0.4815901814300961,2.8119990611916035,2.3558000833145343,2.4502879483528277,"[2.4903525800133743, 2.682524176683122, 2.4102233166922815, 2.3867652566210986, 2.349219306682547, 2.3623808599465215, 2.328643763321452]",47
student_direct,student,direct_training,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_direct.pt,7475,0.22555183946488294,0.4454849498327759,2.85640153390508,0.04879559576511383,0.22089725160153947,0.7875344157218933,2970113,2949248,2949248,0.0,,11.334151268005371,,0.3605378366773948,0.1468870133976452,209.59912109375,72.09372376897954,20,0.2306563500533618,0.45610992529348987,2.836785546743501,0.3461771483610695,0.37912126499577425,"[0.3428162833248886, 0.4069331866533806, 0.37467191674901795, 0.38357061324253056, 0.3495380133972503, 0.33899644661384326, 0.3605378366773948]",47
