condition,family,method,checkpoint,positions,top1,top3,policy_ce,value_mse,value_rmse,value_pearson,params,prunable_params,nonzero_prunable_params,actual_sparsity,sparsity_target,actual_model_mb,sparse_estimated_mb,cpu_latency_ms,gpu_latency_ms,peak_gpu_mb,train_seconds,epochs_completed,val_top1,val_top3,val_policy_ce,cpu_latency_q1_ms,cpu_latency_q3_ms,cpu_latency_trials,seed
student_distilled,student,distillation,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_distilled_a0p50_t2p0.pt,7475,0.24334448160535116,0.4553846153846154,2.84357747189576,0.04730118811130524,0.21748836316296383,0.7945718169212341,2970113,2949248,2949248,0.0,,11.334399223327637,,0.3851599233651844,0.18052515001424277,253.3876953125,93.0617728419893,20,0.24506403415154748,0.4631803628601921,2.8312714341610445,0.3744027483238218,0.40726134665116354,"[0.4248377333472793, 0.4142090866419797, 0.40031360666034743, 0.3851599233651844, 0.37017041332243633, 0.3623973533588772, 0.37863508332520723]",47
teacher_int8,teacher,quantization,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/teacher_int8.pt,7475,0.24120401337792644,0.4619397993311037,2.8304122534404232,0.050338346511125565,0.22436208795410503,0.7811172008514404,12212225,12190208,12190208,0.0,,11.716753959655762,,0.4975327866850421,,0.0,0.0,0,0.2419957310565635,0.48172358591248665,2.8121231917764997,0.48384885002936545,0.5276756566308904,"[0.4851041567356636, 0.4980380666286995, 0.451221873324054, 0.4825935433230673, 0.4975327866850421, 0.5573132466330813, 0.7655137266071202]",47
teacher_control,teacher,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/teacher_control.pt,7475,0.2337123745819398,0.46635451505016723,2.8324378628236393,0.04781586304306984,0.21866838601652008,0.7861323356628418,12212225,12190208,12190208,0.0,,46.5896577835083,,2.4149913432969092,,0.0,7.036633140000049,1,0.23479188900747064,0.48479188900747067,2.8146484373982203,2.3141438616342684,2.488362409979648,"[2.6964926967048086, 2.4992429566918872, 2.4149913432969092, 2.477481863267409, 2.2922597199794836, 2.3360280032890537, 2.2395748933195136]",47
teacher_pruned_25,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/teacher_pruned_25.pt,7475,0.23224080267558528,0.46755852842809364,2.829489515967991,0.046891409903764725,0.21654424467938355,0.7907702922821045,12212225,12190208,9142656,0.25,0.25,46.58968448638916,69.83691787719727,2.192058109988769,,0.0,7.78884500201093,1,0.23679295624332977,0.4841248665955176,2.8129838520587445,2.119297033350449,2.3247040283361757,"[2.08069802999186, 2.594415070003985, 2.199889209975178, 2.0698904366387674, 2.192058109988769, 2.157896036709038, 2.449518846697174]",47
teacher_pruned_50,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/teacher_pruned_50.pt,7475,0.2462876254180602,0.4688963210702341,2.8240272939484257,0.047174133360385895,0.21719607123607437,0.7930234670639038,12212225,12190208,6095104,0.5,0.5,46.58968448638916,46.585941314697266,2.3275404399222075,,0.0,7.678208015975542,1,0.24813233724653147,0.48745997865528284,2.807462559438439,2.307347965009588,2.381603698352895,"[2.43129660996298, 2.3888178433602056, 2.3743895533455848, 2.261092343251221, 2.312307813360045, 2.302388116659131, 2.3275404399222075]",47
teacher_pruned_75,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/teacher_pruned_75.pt,7475,0.2545819397993311,0.4707692307692308,2.795736493490213,0.055475931614637375,0.23553329194540074,0.7578051090240479,12212225,12190208,3047552,0.75,0.75,46.58968448638916,23.334964752197266,2.2883059699476385,,0.0,7.645505827007582,1,0.259204909284952,0.47958911419423694,2.7818642644770244,2.2243835249779904,2.380213704988516,"[2.3858756266417913, 2.396587396700246, 2.284091699984856, 2.161869886719311, 2.1646753499711244, 2.37455178333524, 2.2883059699476385]",47
student_distilled_int8,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_distilled_int8.pt,7475,0.24066889632107025,0.45217391304347826,2.844695957209354,0.04683401435613632,0.21641167795693542,0.7949625253677368,2970113,2949248,2949248,0.0,,2.8996877670288086,,0.24268324001847455,,0.0,0.0,0,0.24372998932764142,0.4605122732123799,2.8316252793929872,0.2372518933649796,0.2694227217095128,"[0.26486831668686744, 0.3154538733845887, 0.2739771267321582, 0.24268324001847455, 0.23697532005220032, 0.23752846667775884, 0.22607524665848663]",47
student_distilled_control,student,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_distilled_control.pt,7475,0.24441471571906354,0.45177257525083614,2.841606150024312,0.045534394681453705,0.21338789722346885,0.7993625402450562,2970113,2949248,2949248,0.0,,11.333992958068848,,0.40718447669253993,,0.0,3.8292576450039633,1,0.24653148345784417,0.46224653148345785,2.828285457993775,0.4018912499789925,0.4409457083481053,"[0.5519147232795755, 0.4742441566971441, 0.40392834664089605, 0.4076472599990666, 0.3998541533170889, 0.3861615600180812, 0.40718447669253993]",47
student_distilled_pruned_25,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_distilled_pruned_25.pt,7475,0.24307692307692308,0.4528428093645485,2.840135844335907,0.04579879343509674,0.21400652661799066,0.7998424172401428,2970113,2949248,2211936,0.25,0.25,11.334019660949707,16.955326080322266,0.3719767166573244,,0.0,3.862829641002463,1,0.24466382070437567,0.46224653148345785,2.8276935163149837,0.36629063494425884,0.41843538497535826,"[0.4226067999843508, 0.47828441000698757, 0.3646099799273846, 0.3719767166573244, 0.41426396996636566, 0.355141796656729, 0.36797128996113315]",47
student_distilled_pruned_50,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_47/student_distilled_pruned_50.pt,7475,0.24267558528428093,0.4500334448160535,2.827823073345682,0.05941079929471016,0.2437433061536463,0.7306012511253357,2970113,2949248,1474624,0.5,0.5,11.334019660949707,11.330081939697266,0.38204588995237526,,0.0,3.6726215530070476,1,0.23625933831376733,0.45904482390608325,2.8177711663403913,0.3790718833139787,0.41019939502196695,"[0.4707147233420983, 0.4306284567185988, 0.38204588995237526, 0.3805648800334893, 0.3897703333253351, 0.3775788865944681, 0.3649012933601625]",47
